Title,Note,URL,Tags,Comment
easypop,,https://www.google.com/maps/place/easypop/data=!4m2!3m1!1s0x6018e44a442ff507:0x1eaaddb4c7d267b6,,
LHP 上野,,https://www.google.com/maps/place/LHP+%E4%B8%8A%E9%87%8E/data=!4m2!3m1!1s0x60188f3b3eefd5b3:0x7efd744e5a5c4c3a,,
UNION,,https://www.google.com/maps/place/UNION/data=!4m2!3m1!1s0x60008fc02f814097:0x21998ac2ad5eee1a,,
FORTY FIVE,,https://www.google.com/maps/place/FORTY+FIVE/data=!4m2!3m1!1s0x3554075e8ff83937:0xab9935fa27018af2,,
suwes,,https://www.google.com/maps/place/suwes/data=!4m2!3m1!1s0x60188d99abc30065:0x934c299a5d5c8100,,
MAISON PARK,,https://www.google.com/maps/place/MAISON+PARK/data=!4m2!3m1!1s0x6000e7406524fd13:0x41f6eb45e3828e49,,
1999 used clothing store,,https://www.google.com/maps/place/1999+used+clothing+store/data=!4m2!3m1!1s0x601f2f3ca8262455:0xf6e3ca8813803090,,
J’ai la peche,,https://www.google.com/maps/place/J%E2%80%99ai+la+peche/data=!4m2!3m1!1s0x60008f007ea13125:0xe70e1df7f01b348b,,
ESSENCE store Osaka,,https://www.google.com/maps/place/ESSENCE+store+Osaka/data=!4m2!3m1!1s0x6000e71c325e9989:0x96609273378ec5b6,,
Mukta / Sal,,https://www.google.com/maps/place/Mukta+%2F+Sal/data=!4m2!3m1!1s0x60008ee70f6fc05d:0x10033d5ae6bb80d1,,
ERAS,,https://www.google.com/maps/place/ERAS/data=!4m2!3m1!1s0x6018f30076511949:0x2752ccd1b4e5bb97,,
STYLE 202,,https://www.google.com/maps/place/STYLE+202/data=!4m2!3m1!1s0x60188d69b1d4fcf7:0x9e275acdc4765960,,
THE ANTHOLOGY Vintage Used Clothing & Records,,https://www.google.com/maps/place/THE+ANTHOLOGY+Vintage+Used+Clothing+%26+Records/data=!4m2!3m1!1s0x6018f58d06bf7ffd:0xb2852019b34a401e,,
Doma bldg,,https://www.google.com/maps/place/Doma+bldg/data=!4m2!3m1!1s0x6018f3faf8e3fca1:0x31f2320ae23d3c41,,
keylime Tokyo,,https://www.google.com/maps/place/keylime+Tokyo/data=!4m2!3m1!1s0x6018f5821e5b9c7b:0x2f46a3bb2ccabfa0,,
dracaena 古着屋ドラセナ 吉祥寺 本店,,https://www.google.com/maps/place/dracaena+%E5%8F%A4%E7%9D%80%E5%B1%8B%E3%83%89%E3%83%A9%E3%82%BB%E3%83%8A+%E5%90%89%E7%A5%A5%E5%AF%BA+%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x6018ee379262808f:0x5970899cc73a002a,,
BORDER,,https://www.google.com/maps/place/BORDER/data=!4m2!3m1!1s0x6018f5004f0a5ca5:0x175c50e46f42e162,,
THIS MAN vintage clothing,,https://www.google.com/maps/place/THIS+MAN+vintage+clothing/data=!4m2!3m1!1s0x5ff4c9718cfe1297:0xd4865ae0ab33948a,,
GLAMOUR,,https://www.google.com/maps/place/GLAMOUR/data=!4m2!3m1!1s0x5ff4c9eba526c49d:0xdcd69fa339ece5df,,
one day store,,https://www.google.com/maps/place/one+day+store/data=!4m2!3m1!1s0x5ff4c9ebb2510157:0x865a887e082ebe8e,,
新潟無人古着屋empty clothing store,,https://www.google.com/maps/place/%E6%96%B0%E6%BD%9F%E7%84%A1%E4%BA%BA%E5%8F%A4%E7%9D%80%E5%B1%8Bempty+clothing+store/data=!4m2!3m1!1s0x5ff4cb4ef8f76cb5:0x4dab89db07cc213,,
OIL,,https://www.google.com/maps/place/OIL/data=!4m2!3m1!1s0x601ef2ced681ec3f:0xc6a50fc70f7fa993,,
アンドフェブ -and Pheb-,,https://www.google.com/maps/place/%E3%82%A2%E3%83%B3%E3%83%89%E3%83%95%E3%82%A7%E3%83%96+-and+Pheb-/data=!4m2!3m1!1s0x6018f262a80f8bbb:0xddfe8ec63b5cc972,,
ASCENT,,https://www.google.com/maps/place/ASCENT/data=!4m2!3m1!1s0x601889a76146017d:0xbef302a117f60180,,
MOLDNEST-VLACK,,https://www.google.com/maps/place/MOLDNEST-VLACK/data=!4m2!3m1!1s0x355aa20fc3fb5c3f:0x5ff56eabc519ca24,,
SISTER,,https://www.google.com/maps/place/SISTER/data=!4m2!3m1!1s0x5ff4c9eeeee5b7fd:0x3c186492794bba72,,
tity niigata,,https://www.google.com/maps/place/tity+niigata/data=!4m2!3m1!1s0x5ff4c9ec7355a1f1:0x13483af31ab06d63,,
